,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,file
0,94.21875,140.98779296875,88.53125,120.99267578125,77.15625,112.28369140625,80.0,112.328125,94.21875,118.23779296875,105.59375,132.63427734375,80.0,112.328125,51.5625,69.2275390625,48.71875,69.18310546875,25.96875,51.76513671875,80.0,75.359375,80.0,72.515625,62.9375,69.4052734375,45.875,69.138671875,23.125,54.564453125,71.46875,78.06982421875,348.png
1,159.71875,394.58935546875,201.75,327.99609375,260.59375,303.69677734375,319.4375,296.2099609375,311.03125,304.48486328125,344.65625,389.07275390625,294.21875,304.22216796875,260.59375,169.19677734375,252.1875,143.8466796875,235.375,51.115234375,151.3125,268.3642578125,159.71875,251.68310546875,201.75,185.08984375,311.03125,153.17236328125,369.875,212.935546875,437.125,264.423828125,185-3.png
2,76.5,154.8828125,32.75,132.32421875,73.375,114.208984375,79.625,117.431640625,42.125,135.595703125,79.625,154.931640625,76.5,117.3828125,89.0,67.578125,92.125,64.501953125,95.25,36.42578125,64.0,51.5625,64.0,70.3125,82.75,64.35546875,98.375,73.974609375,79.625,67.431640625,82.75,58.10546875,380-2.png
3,793.75,636.37109375,892.96875,518.85888671875,674.6875,475.7607421875,555.625,473.900390625,476.25,671.09765625,436.5625,710.1650390625,615.15625,474.83056640625,555.625,176.244140625,575.46875,156.71044921875,575.46875,-2.03955078125,813.59375,358.86865234375,734.21875,278.25341796875,654.84375,157.95068359375,456.40625,194.53759765625,357.1875,212.8310546875,178.59375,170.35302734375,367.png
4,245.625,799.166015625,217.375,615.099609375,245.625,431.916015625,175.0,430.8125,62.0,598.546875,76.125,796.517578125,203.25,431.25390625,217.375,233.724609375,217.375,205.474609375,189.125,21.408203125,132.625,105.275390625,118.5,161.5546875,175.0,204.8125,175.0,218.9375,118.5,161.5546875,118.5,105.0546875,145-3.png
5,162.71875,119.19873046875,130.96875,102.82763671875,130.96875,82.98388671875,146.84375,75.29443359375,174.625,83.666015625,214.3125,104.1298828125,142.875,75.232421875,123.03125,63.01611328125,115.09375,54.95458984375,162.71875,107.29248046875,127.0,55.140625,67.46875,46.27294921875,91.28125,62.52001953125,158.75,75.48046875,154.78125,27.79345703125,158.75,27.85546875,202.png
6,71.5,123.8671875,93.5,107.7109375,90.75,91.16796875,77.0,90.953125,82.5,104.7890625,77.0,126.703125,82.5,91.0390625,90.75,44.41796875,90.75,38.91796875,93.5,16.9609375,143.0,50.734375,123.75,50.43359375,107.25,47.42578125,77.0,44.203125,55.0,52.109375,24.75,51.63671875,508-2.png
7,54.375,126.943359375,62.25,100.81640625,67.5,82.5234375,67.5,85.1484375,99.0,106.640625,104.25,132.97265625,67.5,82.5234375,67.5,53.6484375,67.5,53.6484375,70.125,30.064453125,28.125,60.908203125,38.625,55.822265625,57.0,50.859375,80.625,51.228515625,96.375,59.349609375,109.5,70.0546875,359-3.png
8,235.0625,433.1259765625,187.375,330.193359375,214.625,235.244140625,180.5625,207.4619140625,132.875,295.279296875,71.5625,348.8212890625,207.8125,228.3251953125,316.8125,148.2783203125,323.625,148.384765625,323.625,73.447265625,350.875,319.123046875,337.25,278.03515625,357.6875,182.9794921875,296.375,134.333984375,235.0625,153.8134765625,71.5625,321.5712890625,431-3.png
9,162.75,164.08984375,116.0,146.359375,154.25,129.95703125,167.0,130.15625,120.25,176.17578125,167.0,193.90625,158.5,130.0234375,99.0,69.59375,94.75,61.02734375,73.5,18.1953125,141.5,112.7578125,154.25,95.95703125,133.0,61.625,69.25,171.12890625,124.5,86.9921875,128.75,167.80859375,431-2.png
