,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,file
0,0.078125,0.15625,0.059679598,0.046875,0.046875,0.10726171,-0.015625,0.0,0.03191458,0.0,0.0,-0.034589723,0.078125,0.03125,-0.009914624,0.140625,0.109375,0.09732891,0.0,0.0,0.0,-0.15625,-0.234375,-0.050130274,-0.171875,-0.234375,-0.10090722,-0.296875,-0.328125,-0.091594964,0.0,-0.203125,0.088644795,0.0,-0.21875,0.037834734,-0.09375,-0.234375,-0.08448948,-0.1875,-0.234375,-0.10911822,-0.3125,-0.3125,-0.0072966283,-0.046875,-0.1875,-0.046035312,348.png
1,-0.25,0.171875,-0.055800024,-0.171875,0.046875,0.24891017,-0.0625,0.0,-0.0072990567,0.046875,-0.015625,-0.010319363,0.03125,0.0,0.13570778,0.09375,0.15625,0.00017589564,0.0,0.0,0.0,-0.0625,-0.25,0.00044679735,-0.078125,-0.296875,-0.03492293,-0.109375,-0.46875,-0.008655639,-0.265625,-0.0625,0.007919226,-0.25,-0.09375,0.023500519,-0.171875,-0.21875,-0.046456788,0.03125,-0.28125,-0.012078656,0.140625,-0.171875,0.027464617,0.265625,-0.078125,-0.019115373,185-3.png
2,0.0,0.1875,0.10763096,-0.21875,0.078125,0.233885,-0.015625,-0.015625,0.0317591,0.015625,0.0,-0.053237297,-0.171875,0.09375,0.11556721,0.015625,0.1875,-0.033372045,0.0,0.0,0.0,0.0625,-0.25,-0.029561613,0.078125,-0.265625,-0.051809434,0.09375,-0.40625,-0.07999074,-0.0625,-0.328125,0.010450797,-0.0625,-0.234375,0.06269801,0.03125,-0.265625,0.008055501,0.109375,-0.21875,-0.083807975,0.015625,-0.25,-0.09423512,0.03125,-0.296875,-0.110123366,380-2.png
3,0.140625,0.125,0.101066045,0.21875,0.03125,0.25162974,0.046875,0.0,-0.032219097,-0.046875,0.0,0.004663332,-0.109375,0.15625,0.48096398,-0.140625,0.1875,0.22441188,0.0,0.0,0.0,-0.046875,-0.234375,-0.005297157,-0.03125,-0.25,0.0055555976,-0.03125,-0.375,-0.0201333,0.15625,-0.09375,0.023498017,0.09375,-0.15625,-0.031444583,0.03125,-0.25,-0.02309763,-0.125,-0.21875,0.0011583562,-0.203125,-0.203125,0.03262645,-0.34375,-0.234375,0.04609223,367.png
4,0.046875,0.40625,0.037389904,0.015625,0.203125,0.1531417,0.046875,0.0,0.017582659,-0.03125,0.0,-0.023835078,-0.15625,0.1875,0.118824795,-0.140625,0.40625,-0.010036664,0.0,0.0,0.0,0.015625,-0.21875,-0.025110288,0.015625,-0.25,-0.04588545,-0.015625,-0.453125,-0.06907611,-0.078125,-0.359375,-0.051112354,-0.09375,-0.296875,0.009113171,-0.03125,-0.25,-0.010326015,-0.03125,-0.234375,-0.1077077,-0.09375,-0.296875,-0.046025075,-0.09375,-0.359375,-0.055796877,145-3.png
5,0.078125,0.171875,-0.013321996,-0.046875,0.109375,0.0063792546,-0.046875,0.03125,-0.012836097,0.015625,0.0,0.00111685,0.125,0.03125,0.027978808,0.28125,0.109375,0.07803167,0.0,0.0,0.0,-0.078125,-0.046875,-0.034117192,-0.109375,-0.078125,-0.110603906,0.078125,0.125,-0.16032806,-0.0625,-0.078125,0.034902673,-0.296875,-0.109375,-0.10611744,-0.203125,-0.046875,-0.06696759,0.0625,0.0,-0.1426536,0.046875,-0.1875,-0.035971712,0.0625,-0.1875,-0.029573979,202.png
6,-0.0625,0.1875,0.15901694,0.0625,0.09375,0.16298486,0.046875,0.0,-0.004284908,-0.03125,0.0,0.014397074,0.0,0.078125,0.18005991,-0.03125,0.203125,0.17262715,0.0,0.0,0.0,0.046875,-0.265625,-0.008457948,0.046875,-0.296875,-0.023662752,0.0625,-0.421875,-0.028896935,0.34375,-0.234375,0.017635945,0.234375,-0.234375,0.028401561,0.140625,-0.25,-0.0079051275,-0.03125,-0.265625,-0.043507464,-0.15625,-0.21875,-0.021469695,-0.328125,-0.21875,-0.0027956984,508-2.png
7,-0.078125,0.265625,-0.111478515,-0.03125,0.109375,0.055462707,0.0,0.0,-0.0172948,0.0,0.015625,0.006016049,0.1875,0.140625,0.109446585,0.21875,0.296875,-0.00020440249,0.0,0.0,0.0,0.0,-0.171875,-0.022499232,0.0,-0.171875,-0.06912326,0.015625,-0.3125,0.009588663,-0.234375,-0.125,-0.013354702,-0.171875,-0.15625,-0.033685606,-0.0625,-0.1875,-0.020060567,0.078125,-0.1875,-0.026724327,0.171875,-0.140625,0.0047948123,0.25,-0.078125,0.078207806,359-3.png
8,0.0625,0.46875,0.04058412,-0.046875,0.234375,0.041647557,0.015625,0.015625,-0.038314033,-0.0625,-0.046875,0.03664426,-0.171875,0.15625,0.07976231,-0.3125,0.28125,0.124115765,0.0,0.0,0.0,0.25,-0.1875,0.00911482,0.265625,-0.1875,-0.019867554,0.265625,-0.359375,0.008214448,0.328125,0.203125,0.08121783,0.296875,0.109375,-0.00021223037,0.34375,-0.109375,0.018282382,0.203125,-0.21875,-0.009804122,0.0625,-0.171875,0.07153516,-0.3125,0.21875,0.042493574,431-3.png
9,0.015625,0.125,0.07074,-0.15625,0.0625,0.020913715,-0.015625,0.0,0.033700798,0.03125,0.0,-0.0385546,-0.140625,0.171875,0.058821976,0.03125,0.234375,-0.03533945,0.0,0.0,0.0,-0.21875,-0.21875,0.0076821395,-0.234375,-0.25,-0.024876492,-0.3125,-0.40625,-0.020101916,-0.0625,-0.0625,0.20876564,-0.015625,-0.125,0.24281183,-0.09375,-0.25,0.07295215,-0.328125,0.15625,0.02421823,-0.125,-0.15625,0.0057786233,-0.109375,0.140625,0.26136884,431-2.png
10,-0.0625,0.296875,-0.011577116,0.046875,0.171875,0.013567792,-0.015625,0.0,-0.0024409925,0.03125,0.0,0.004100158,0.046875,0.140625,-0.104066834,0.0625,0.3125,-0.11902861,0.0,0.0,0.0,0.046875,-0.140625,0.027427869,0.046875,-0.140625,0.053487528,0.046875,-0.25,0.08167111,-0.171875,-0.171875,-0.002647109,-0.140625,-0.109375,0.0012066695,-0.046875,-0.15625,0.037305247,0.125,-0.140625,0.028375573,0.203125,-0.140625,0.049396947,0.171875,-0.15625,0.070576675,359-2.png
11,-0.015625,0.46875,-0.01422829,0.03125,0.328125,0.11494252,0.046875,0.015625,-0.01511544,-0.03125,0.0,-0.004066486,-0.015625,0.328125,0.163586,-0.03125,0.4375,0.011074591,0.0,0.0,0.0,0.28125,0.03125,-0.001932848,0.265625,0.03125,0.040536415,0.296875,0.0,0.034053642,0.015625,-0.03125,0.015973972,0.109375,0.21875,-0.09954949,0.078125,0.25,-0.11526095,0.265625,0.015625,0.029199345,0.09375,0.09375,-0.0046650227,0.140625,-0.015625,0.041720483,198-3.png
12,0.03125,0.296875,0.058332004,-0.015625,0.140625,0.18200152,0.015625,0.0,0.038475435,0.0,0.015625,-0.031594418,-0.0625,0.15625,0.038146287,0.0,0.328125,-0.038579628,0.0,0.0,0.0,0.046875,-0.21875,-0.011604553,0.046875,-0.234375,-0.023237724,0.09375,-0.34375,-0.016247196,-0.09375,-0.359375,0.03263115,-0.046875,-0.265625,0.021560086,0.046875,-0.203125,0.01668349,0.03125,-0.21875,-0.06388636,-0.0625,-0.265625,-0.0048545925,-0.109375,-0.359375,0.02871388,145-2.png
13,-0.25,-0.15625,0.2056854,-0.09375,-0.046875,0.27963042,0.0625,0.0,0.05301098,-0.046875,0.0,-0.038727786,-0.1875,-0.078125,0.14027816,-0.296875,-0.171875,0.1177628,0.0,0.0,0.0,0.25,0.0625,-0.063284256,0.28125,0.046875,-0.15666534,0.421875,-0.015625,-0.1154357,0.296875,-0.15625,0.043833394,0.296875,-0.09375,0.016519181,0.28125,0.125,-0.097365834,0.140625,0.03125,-0.2967985,-0.015625,0.0625,-0.21834613,0.296875,-0.171875,0.018613152,244-2.png
14,0.4375,0.15625,-0.031585976,0.28125,-0.03125,-0.050640166,0.03125,0.0,-0.057662655,-0.03125,0.015625,0.04398066,0.140625,0.15625,0.3820428,-0.046875,0.140625,0.103466,0.0,0.0,0.0,-0.109375,-0.296875,-0.017391432,-0.09375,-0.3125,-0.03765831,-0.0625,-0.46875,-0.050751247,0.03125,-0.0625,-0.12164504,-0.046875,-0.15625,-0.055401713,-0.078125,-0.28125,-0.04058334,-0.140625,-0.3125,0.01046207,-0.15625,-0.171875,0.09369346,-0.078125,-0.109375,0.12840736,65.png
15,0.34375,0.0,0.1548569,0.171875,-0.078125,0.21872479,0.046875,0.0,-0.044021636,-0.046875,-0.015625,0.034126706,-0.0625,-0.1875,0.13876241,0.15625,-0.046875,0.43873563,0.0,0.0,0.0,-0.03125,-0.234375,-0.03550434,-0.015625,-0.28125,-0.0723898,0.0,-0.4375,0.012756809,0.1875,-0.109375,0.024455382,0.15625,-0.125,-0.11443584,0.046875,-0.203125,-0.1313896,-0.109375,-0.25,-0.05253706,-0.203125,-0.1875,0.0056970827,-0.296875,-0.140625,0.0633752,185-2.png
